python-validate-pyproject 0.13-1
python-xapp 2.4.1-1
python-zope-interface 6.0-3
qpdf 11.6.1-1
qrencode 4.1.1-2
qt5-base 5.15.10+kde+r155-1
qt5-svg 5.15.10+kde+r8-1
qt5-translations 5.15.10-1
qt5-x11extras 5.15.10-1
qt5ct 1.7-1
qt6-base 6.5.2-1
qt6-declarative 6.5.2-2
qt6-translations 6.5.2-1
ranger 1.9.3+674+gfe7c3b28-1
raptor 2.0.16-3
rav1e 0.6.6-1
readline 8.2.001-2
reiserfsprogs 3.6.27-4
rpcbind 1.2.6-3
rsync 3.2.7-4
rtmpdump 1:2.4.r99.f1b83c1-2
run-parts 5.5-1
rxvt-unicode 9.31-4
rxvt-unicode-terminfo 9.31-4
s-nail 14.9.24-2
sbc 2.0-1
sbxkb 0.7.6-6
screenfetch 3.9.1-3
scrot 1.10-1
sdl2 2.28.3-1
sed 4.9-3
serd 0.30.16-1
serf 1.3.9-8
sg3_utils 1.47-1
shaderc 2023.4-1
shadow 4.13-3
shared-mime-info 2.2+13+ga2ffb28-1
shiboken6 6.5.2-2
slang 2.3.3-2
smbclient 4.19.0-1
snapd 2.60.3-1
sof-firmware 2.2.6-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
spandsp 0.0.6-5
spectre-meltdown-checker 0.46+20+g9b7b09a-1
speedtest-cli 2.1.3-7
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.4-1
sqlite 3.43.1-1
squashfs-tools 4.6.1-1
sratom 0.6.14-1
srt 1.5.3-1
startup-notification 0.12-8
stoken 0.92-4
subversion 1.14.2-9
sudo 1.9.14.p3-1
suitesparse 7.1.0-2
svt-av1 1.7.0-1
svt-hevc 1.5.1-2
sysfsutils 2.1.1-1
syslog-ng 4.2.0-1
systemd 254.3-1
systemd-libs 254.3-1
systemd-sysvcompat 254.3-1
taglib 1.13.1-1
talloc 2.4.1-1
tar 1.35-1
tdb 1.4.9-1
terminus-font 4.49.1-6
tevent 1:0.15.0-1
texinfo 7.0.3-1
thin-provisioning-tools 1.0.6-1
tinyxml2 9.0.0-2
tpm2-tss 4.0.1-1
tracker3 3.5.3-2
tree 2.1.1-1
tslib 1.22-1
ttf-bitstream-vera 1.10-15
ttf-dejavu 2.37+18+g9b5d1b2f-4
ttf-droid 20121017-10
ttf-font-icons 1.1-5
ttf-inconsolata 1:3.000-3
ttf-indic-otf 0.2-11
ttf-liberation 2.1.5-1
ttf-meslo-nerd-font-powerlevel10k 20230403-2
ttf-terminus-nerd 3.0.2-1
twolame 0.4.0-3
tzdata 2023c-2
udisks2 2.9.4-4
ueberzug 18.2.2-1
ufw 0.36.2-2
upower 1.90.2-1
urxvt-perls 2.3-2
usbmuxd 1.1.1-3
usbutils 015-3
util-linux 2.39.2-1
util-linux-libs 2.39.2-1
v4l-utils 1.24.1-2
v86d 0.1.10-6
vi 1:070224-6
vibrancy-icons-teal 2.7-1
vid.stab 1.1.1-1
viewnior 1.8-5
vim 9.0.1882-1
vim-runtime 9.0.1882-1
vlc 3.0.18-15
vmaf 2.3.1-1
volume_key 0.3.12-8
volumeicon 0.5.1-5
vpnc 1:0.5.3.r526.r213-1
vulkan-headers 1:1.3.264-2
vulkan-icd-loader 1.3.263-1
w3m 0.5.3.git20230121_1-1
wallpapers-juhraya 1.1-2
wavpack 5.6.0-1
wayland 1.22.0-1
wayland-protocols 1.32-1
web-installer-url-handler 2.3-1
webkit2gtk 2.40.5-2
webrtc-audio-processing 0.3.1-4
wget 1.21.4-1
which 2.21-6
wildmidi 0.4.5-2
wireless-regdb 2023.09.01-1
wireless_tools 30.pre9-3
wmutils 1:1.7-1
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.2-1
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xapp 2.6.1-2
xarchiver 0.5.4.21-1
xautolock 2.2-6
xbitmaps 1.1.3-1
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xclip 0.13-4
xcursor-breeze 5.27.6-1
xcursor-maia 20160417-2
xdg-dbus-proxy 0.1.5-1
xdg-user-dirs 0.18-1
xdg-utils 1.1.3+45+g301a1a4-1
xdotool 3.20211022.1-1
xf86-input-elographics 1.4.3-1
xf86-input-evdev 2.10.6-3
xf86-input-libinput 1.4.0-1
xf86-input-void 1.4.2-1
xfburn 0.7.0-1
xfce4-notifyd 0.8.2-1
xfce4-power-manager 4.18.2-1
xfconf 4.18.1-2
xfsprogs 6.4.0-1
xkeyboard-config 2.39-1
xmlsec 1.2.37-1
xorg-fonts-alias-misc 1.0.5-1
xorg-fonts-encodings 1.0.7-1
xorg-fonts-misc 1.0.4-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.8-2
xorg-server-common 21.1.8-2
xorg-setxkbmap 1.3.4-1
xorg-twm 1.0.12-1
xorg-xauth 1.1.2-1
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
